skill,backend developer,data engineer,data scientist,machine learning engineer,software engineer
aws,5.1,27.400000000000002,13.200000000000001,61.3,19.8
docker,0.5,0.7000000000000001,0.0,1.6,0.6
golang,1.7999999999999998,0.0,0.0,0.0,3.1
java,35.099999999999994,6.7,2.6,8.1,31.3
kubernetes,2.1,1.0999999999999999,0.0,1.6,3.3000000000000003
python,48.699999999999996,35.699999999999996,50.0,22.6,35.5
pytorch,1.0,0.5,0.0,3.2,0.4
spark,0.5,8.5,2.6,0.0,1.0999999999999999
sql,4.9,19.400000000000002,31.6,0.0,4.5
tensorflow,0.3,0.0,0.0,1.6,0.3
